CardNo,Sex,Major,Card_Count,Frequency,Most_Frequent_Place,Avg_Storage,Avg_Spending
180001,男,18国际金融,215.0,32,第四食堂,25.44375,5.386666666666667
180002,男,18国际金融,269.0,46,第一食堂,66.34782608695652,4.226666666666667
180004,男,18国际金融,843.0,96,第五食堂,65.603125,19.066666666666666
180005,男,18国际金融,693.0,35,第五食堂,81.66571428571427,6.17
180006,男,18国际金融,415.0,23,第五食堂,41.160869565217396,2.856666666666667
180007,男,18国际金融,908.0,114,第五食堂,123.17017543859649,17.086666666666666
180008,男,18国际金融,560.0,56,第五食堂,48.667857142857144,9.18
180009,女,18国际金融,527.0,46,第四食堂,89.79782608695652,10.16
180011,女,18国际金融,1007.0,108,第二食堂,46.92962962962962,11.863333333333333
180012,女,18国际金融,1016.0,100,第三食堂,80.138,11.54
180013,女,18国际金融,612.0,50,第五食堂,52.001999999999995,5.863333333333333
180014,女,18国际金融,952.0,136,第三食堂,48.71544117647059,14.55
180015,女,18国际金融,811.0,83,第五食堂,56.15783132530121,11.53
180016,女,18国际金融,969.0,115,第五食堂,64.52434782608695,9.996666666666666
180017,女,18国际金融,665.0,64,第五食堂,77.6453125,9.656666666666666
180018,女,18国际金融,472.0,30,第五食堂,97.67333333333333,4.663333333333333
180021,女,18国际金融,375.0,60,第五食堂,80.30333333333333,5.733333333333333
180022,女,18国际金融,257.0,16,第三食堂,95.4625,2.8633333333333337
180024,女,18国际金融,457.0,30,第三食堂,44.83,4.756666666666666
180025,女,18国际金融,744.0,74,第一食堂,43.81351351351352,6.739999999999999
180026,女,18国际金融,836.0,108,第五食堂,78.08333333333333,9.870000000000001
180027,女,18国际金融,823.0,71,第二食堂,123.68732394366197,8.95
180029,女,18国际金融,545.0,9,好利来食品店,47.77777777777778,1.8099999999999998
180030,女,18国际金融,373.0,25,第三食堂,63.07599999999999,3.3033333333333332
180031,女,18国际金融,696.0,101,第一食堂,83.58217821782178,8.993333333333334
180032,女,18国际金融,246.0,28,第三食堂,54.72857142857142,6.206666666666666
180035,女,18国际金融,391.0,18,第五食堂,33.30555555555556,1.8166666666666667
180036,女,18国际金融,773.0,116,第三食堂,108.62672413793103,16.756666666666668
180037,女,18国际金融,566.0,31,第四食堂,63.63548387096775,5.72
180038,女,18国际金融,770.0,65,第五食堂,82.49384615384616,7.236666666666666
180040,女,18国际金融,705.0,62,第二食堂,48.07096774193548,7.653333333333333
