Index,AccessCardNo,Date,Address,Access,Describe,Time
1330906,25558880,2019/4/1,第六教学楼[进门],1,允许通过,00:00
1330907,18413143,2019/4/1,第六教学楼[出门],1,允许通过,00:02
1331384,11642752,2019/4/1,飞凤轩[进门],1,允许通过,00:00
1330908,24124155,2019/4/1,第六教学楼[出门],1,允许通过,00:00
1331385,18629328,2019/4/1,飞凤轩[进门],1,允许通过,00:11
1331386,22239680,2019/4/1,飞凤轩[出门],1,允许通过,00:00
1331387,18262967,2019/4/1,飞凤轩[进门],1,允许通过,00:14
1330909,10119856,2019/4/1,第六教学楼[进门],1,允许通过,00:15
1331388,22239680,2019/4/1,飞凤轩[进门],1,允许通过,00:15
1330910,24124155,2019/4/1,第六教学楼[进门],1,允许通过,00:17
1330912,9644192,2019/4/1,第六教学楼[进门],1,允许通过,00:18
1331389,137899,2019/4/1,飞凤轩[出门],1,允许通过,00:20
1331390,25421531,2019/4/1,飞凤轩[进门],1,允许通过,00:39
1331757,6310108,2019/4/1,青鸾苑[进门],1,允许通过,00:45
1331758,6310108,2019/4/1,青鸾苑[出门],1,允许通过,00:45
1330921,16740855,2019/4/1,第六教学楼[进门],1,允许通过,00:49
1331759,18262967,2019/4/1,青鸾苑[进门],1,允许通过,00:49
1331760,6310108,2019/4/1,青鸾苑[进门],1,允许通过,00:50
1331761,6310108,2019/4/1,青鸾苑[出门],1,允许通过,00:53
1330922,18413143,2019/4/1,第六教学楼[进门],1,允许通过,00:57
1330923,18153479,2019/4/1,第六教学楼[进门],1,允许通过,00:00
1331762,18262967,2019/4/1,青鸾苑[出门],1,允许通过,00:00
1331763,18262967,2019/4/1,青鸾苑[进门],1,允许通过,01:04
1331764,18262967,2019/4/1,青鸾苑[出门],1,允许通过,00:00
1331391,5851090,2019/4/1,飞凤轩[进门],1,允许通过,01:36
1331392,16401207,2019/4/1,飞凤轩[出门],1,允许通过,02:18
1330924,19536490,2019/4/1,第六教学楼[出门],1,允许通过,02:23
1331393,10411792,2019/4/1,飞凤轩[进门],1,允许通过,02:46
1330925,11926443,2019/4/1,第六教学楼[进门],1,允许通过,03:05
1330926,19536490,2019/4/1,第六教学楼[进门],1,允许通过,03:13
1330927,21140642,2019/4/1,第六教学楼[进门],1,允许通过,03:40
1331765,19220058,2019/4/1,青鸾苑[进门],1,允许通过,03:56
