Index_x,CardNo,Sex,Major,AccessCardNo,Index_y,Date,Address,Access,Describe,Time
41,180041,女,18国际金融,19748650,1346249.0,2019/4/2,青鸾苑[出门],1.0,允许通过,09:46
41,180041,女,18国际金融,19748650,1346258.0,2019/4/2,青鸾苑[进门],1.0,允许通过,10:31
41,180041,女,18国际金融,19748650,1346260.0,2019/4/2,青鸾苑[出门],1.0,允许通过,00:00
101,180101,女,18会计,18840522,1337058.0,2019/4/7,飞凤轩[进门],1.0,允许通过,21:09
101,180101,女,18会计,18840522,1344564.0,2019/4/29,飞凤轩[出门],1.0,允许通过,14:52
101,180101,女,18会计,18840522,1344850.0,2019/4/29,飞凤轩[进门],1.0,允许通过,18:39
101,180101,女,18会计,18840522,1356200.0,2019/4/14,飞凤轩[进门],1.0,允许通过,21:45
143,180143,女,18会计,19841146,1332806.0,2019/4/5,第六教学楼[进门],1.0,允许通过,18:01
143,180143,女,18会计,19841146,1333335.0,2019/4/6,第六教学楼[进门],1.0,允许通过,17:28
143,180143,女,18会计,19841146,1333678.0,2019/4/7,第六教学楼[进门],1.0,允许通过,11:12
143,180143,女,18会计,19841146,1334342.0,2019/4/3,第六教学楼[出门],1.0,允许通过,00:00
143,180143,女,18会计,19841146,1357867.0,2019/4/17,第六教学楼[进门],1.0,允许通过,09:01
143,180143,女,18会计,19841146,1367531.0,2019/4/23,第六教学楼[进门],1.0,允许通过,21:37
154,180154,女,18会计,709322,1332168.0,2019/4/1,第六教学楼[出门],1.0,允许通过,22:27
154,180154,女,18会计,709322,1333829.0,2019/4/7,第六教学楼[出门],1.0,允许通过,13:51
154,180154,女,18会计,709322,1333877.0,2019/4/7,第六教学楼[进门],1.0,允许通过,15:52
154,180154,女,18会计,709322,1334052.0,2019/4/7,第六教学楼[出门],1.0,允许通过,21:15
154,180154,女,18会计,709322,1334061.0,2019/4/7,第六教学楼[进门],1.0,允许通过,21:24
154,180154,女,18会计,709322,1338860.0,2019/4/3,第六教学楼[进门],1.0,允许通过,00:00
154,180154,女,18会计,709322,1340401.0,2019/4/4,第六教学楼[进门],1.0,允许通过,21:13
154,180154,女,18会计,709322,1341510.0,2019/4/2,第六教学楼[出门],1.0,允许通过,20:27
154,180154,女,18会计,709322,1341552.0,2019/4/2,第六教学楼[进门],1.0,允许通过,21:14
154,180154,女,18会计,709322,1341738.0,2019/4/29,第六教学楼[进门],1.0,允许通过,06:48
154,180154,女,18会计,709322,1341740.0,2019/4/29,第六教学楼[出门],1.0,允许通过,06:52
154,180154,女,18会计,709322,1342174.0,2019/4/29,第六教学楼[进门],1.0,允许通过,15:20
154,180154,女,18会计,709322,1342591.0,2019/4/29,第六教学楼[出门],1.0,允许通过,22:18
154,180154,女,18会计,709322,1342608.0,2019/4/29,第六教学楼[进门],1.0,允许通过,22:28
154,180154,女,18会计,709322,1342940.0,2019/4/30,第六教学楼[出门],1.0,允许通过,12:13
154,180154,女,18会计,709322,1342952.0,2019/4/30,第六教学楼[进门],1.0,允许通过,12:20
154,180154,女,18会计,709322,1343364.0,2019/4/30,第六教学楼[进门],1.0,允许通过,19:18
154,180154,女,18会计,709322,1343592.0,2019/4/30,第六教学楼[出门],1.0,允许通过,22:58
154,180154,女,18会计,709322,1349748.0,2019/4/10,第六教学楼[出门],1.0,允许通过,19:19
154,180154,女,18会计,709322,1353587.0,2019/4/14,第六教学楼[出门],1.0,允许通过,00:00
154,180154,女,18会计,709322,1353611.0,2019/4/14,第六教学楼[进门],1.0,允许通过,21:36
154,180154,女,18会计,709322,1356967.0,2019/4/15,第六教学楼[出门],1.0,允许通过,09:41
154,180154,女,18会计,709322,1357561.0,2019/4/16,第六教学楼[出门],1.0,允许通过,09:39
154,180154,女,18会计,709322,1359498.0,2019/4/17,第六教学楼[进门],1.0,允许通过,09:57
154,180154,女,18会计,709322,1367575.0,2019/4/23,第六教学楼[进门],1.0,允许通过,22:20
187,180187,女,18会计,20602538,1334370.0,2019/4/1,飞凤轩[出门],1.0,允许通过,19:02
187,180187,女,18会计,20602538,1334512.0,2019/4/1,飞凤轩[进门],1.0,允许通过,21:19
187,180187,女,18会计,20602538,1335313.0,2019/4/5,飞凤轩[进门],1.0,允许通过,20:35
187,180187,女,18会计,20602538,1336538.0,2019/4/7,飞凤轩[进门],1.0,允许通过,14:35
187,180187,女,18会计,20602538,1339198.0,2019/4/3,飞凤轩[出门],1.0,允许通过,18:51
187,180187,女,18会计,20602538,1339479.0,2019/4/3,飞凤轩[进门],1.0,允许通过,22:21
187,180187,女,18会计,20602538,1341194.0,2019/4/2,飞凤轩[出门],1.0,允许通过,09:35
187,180187,女,18会计,20602538,1341311.0,2019/4/2,飞凤轩[进门],1.0,允许通过,14:41
187,180187,女,18会计,20602538,1344500.0,2019/4/29,飞凤轩[出门],1.0,允许通过,10:35
187,180187,女,18会计,20602538,1345479.0,2019/4/30,飞凤轩[出门],1.0,允许通过,09:48
187,180187,女,18会计,20602538,1345515.0,2019/4/30,飞凤轩[进门],1.0,允许通过,10:23
187,180187,女,18会计,20602538,1347256.0,2019/4/8,飞凤轩[进门],1.0,允许通过,13:31
187,180187,女,18会计,20602538,1348216.0,2019/4/8,飞凤轩[出门],1.0,允许通过,21:25
187,180187,女,18会计,20602538,1348294.0,2019/4/8,飞凤轩[进门],1.0,允许通过,22:33
187,180187,女,18会计,20602538,1348726.0,2019/4/9,飞凤轩[进门],1.0,允许通过,19:41
187,180187,女,18会计,20602538,1350324.0,2019/4/10,飞凤轩[出门],1.0,允许通过,21:33
187,180187,女,18会计,20602538,1354013.0,2019/4/12,飞凤轩[出门],1.0,允许通过,19:26
187,180187,女,18会计,20602538,1354043.0,2019/4/12,飞凤轩[进门],1.0,允许通过,19:44
187,180187,女,18会计,20602538,1355001.0,2019/4/13,飞凤轩[出门],1.0,允许通过,20:28
187,180187,女,18会计,20602538,1355944.0,2019/4/14,飞凤轩[出门],1.0,允许通过,00:00
187,180187,女,18会计,20602538,1361480.0,2019/4/18,飞凤轩[进门],1.0,允许通过,21:56
187,180187,女,18会计,20602538,1361750.0,2019/4/19,飞凤轩[进门],1.0,允许通过,10:49
187,180187,女,18会计,20602538,1362550.0,2019/4/19,飞凤轩[出门],1.0,允许通过,18:58
187,180187,女,18会计,20602538,1367815.0,2019/4/22,飞凤轩[出门],1.0,允许通过,19:49
187,180187,女,18会计,20602538,1367959.0,2019/4/22,飞凤轩[进门],1.0,允许通过,21:56
187,180187,女,18会计,20602538,1368575.0,2019/4/23,飞凤轩[进门],1.0,允许通过,22:56
187,180187,女,18会计,20602538,1370457.0,2019/4/25,飞凤轩[进门],1.0,允许通过,22:00
187,180187,女,18会计,20602538,1370483.0,2019/4/25,飞凤轩[进门],1.0,允许通过,22:18
187,180187,女,18会计,20602538,1373756.0,2019/4/27,飞凤轩[出门],1.0,允许通过,02:13
199,180199,女,18会计,20026282,1339023.0,2019/4/3,第六教学楼[进门],1.0,允许通过,23:50
199,180199,女,18会计,20026282,1340543.0,2019/4/4,第六教学楼[出门],1.0,允许通过,23:49
199,180199,女,18会计,20026282,1340568.0,2019/4/2,第六教学楼[进门],1.0,允许通过,02:41
199,180199,女,18会计,20026282,1349867.0,2019/4/10,第六教学楼[进门],1.0,允许通过,21:32
199,180199,女,18会计,20026282,1349876.0,2019/4/10,第六教学楼[出门],1.0,允许通过,21:41
199,180199,女,18会计,20026282,1357742.0,2019/4/16,第六教学楼[进门],1.0,允许通过,22:20
199,180199,女,18会计,20026282,1357775.0,2019/4/16,第六教学楼[进门],1.0,允许通过,00:00
219,180219,男,18金融管理,14963738,1366850.0,2019/4/21,青鸾苑[进门],1.0,允许通过,15:16
227,180227,男,18金融管理,20845322,1334469.0,2019/4/1,飞凤轩[出门],1.0,允许通过,20:38
227,180227,男,18金融管理,20845322,1334474.0,2019/4/1,飞凤轩[进门],1.0,允许通过,20:43
227,180227,男,18金融管理,20845322,1340330.0,2019/4/4,飞凤轩[出门],1.0,允许通过,15:52
227,180227,男,18金融管理,20845322,1341222.0,2019/4/2,飞凤轩[进门],1.0,允许通过,09:50
227,180227,男,18金融管理,20845322,1343760.0,2019/4/2,飞凤轩[出门],1.0,允许通过,16:40
227,180227,男,18金融管理,20845322,1343768.0,2019/4/2,飞凤轩[进门],1.0,允许通过,16:46
227,180227,男,18金融管理,20845322,1344992.0,2019/4/29,飞凤轩[出门],1.0,允许通过,19:49
227,180227,男,18金融管理,20845322,1346013.0,2019/4/30,飞凤轩[进门],1.0,允许通过,22:14
227,180227,男,18金融管理,20845322,1350238.0,2019/4/10,飞凤轩[出门],1.0,允许通过,20:18
227,180227,男,18金融管理,20845322,1358519.0,2019/4/16,飞凤轩[出门],1.0,允许通过,09:37
227,180227,男,18金融管理,20845322,1362468.0,2019/4/19,飞凤轩[出门],1.0,允许通过,14:36
227,180227,男,18金融管理,20845322,1370671.0,2019/4/26,飞凤轩[出门],1.0,允许通过,00:00
313,180313,女,18金融管理,21747610,1331409.0,2019/4/1,飞凤轩[出门],1.0,允许通过,06:41
313,180313,女,18金融管理,21747610,1334365.0,2019/4/1,飞凤轩[进门],1.0,允许通过,00:00
313,180313,女,18金融管理,21747610,1335221.0,2019/4/5,飞凤轩[出门],1.0,允许通过,16:07
313,180313,女,18金融管理,21747610,1335634.0,2019/4/6,飞凤轩[进门],1.0,允许通过,10:59
313,180313,女,18金融管理,21747610,1335845.0,2019/4/6,飞凤轩[进门],1.0,允许通过,17:51
313,180313,女,18金融管理,21747610,1336166.0,2019/4/7,飞凤轩[出门],1.0,允许通过,07:22
313,180313,女,18金融管理,21747610,1336239.0,2019/4/7,飞凤轩[进门],1.0,允许通过,09:02
313,180313,女,18金融管理,21747610,1336283.0,2019/4/7,飞凤轩[出门],1.0,允许通过,10:20
313,180313,女,18金融管理,21747610,1336284.0,2019/4/7,飞凤轩[进门],1.0,允许通过,10:21
313,180313,女,18金融管理,21747610,1336287.0,2019/4/7,飞凤轩[出门],1.0,允许通过,10:24
313,180313,女,18金融管理,21747610,1337236.0,2019/4/3,飞凤轩[出门],1.0,允许通过,06:42
313,180313,女,18金融管理,21747610,1340766.0,2019/4/4,飞凤轩[出门],1.0,允许通过,00:00
313,180313,女,18金融管理,21747610,1340980.0,2019/4/4,飞凤轩[进门],1.0,允许通过,21:51
313,180313,女,18金融管理,21747610,1343775.0,2019/4/2,飞凤轩[进门],1.0,允许通过,16:51
313,180313,女,18金融管理,21747610,1344056.0,2019/4/2,飞凤轩[出门],1.0,允许通过,20:43
313,180313,女,18金融管理,21747610,1344142.0,2019/4/2,飞凤轩[进门],1.0,允许通过,21:59
313,180313,女,18金融管理,21747610,1344477.0,2019/4/29,飞凤轩[出门],1.0,允许通过,10:11
313,180313,女,18金融管理,21747610,1345268.0,2019/4/30,飞凤轩[出门],1.0,允许通过,06:50
313,180313,女,18金融管理,21747610,1345316.0,2019/4/30,飞凤轩[进门],1.0,允许通过,07:51
313,180313,女,18金融管理,21747610,1346104.0,2019/4/8,飞凤轩[出门],1.0,允许通过,06:33
313,180313,女,18金融管理,21747610,1348356.0,2019/4/9,飞凤轩[出门],1.0,允许通过,06:32
313,180313,女,18金融管理,21747610,1348506.0,2019/4/9,飞凤轩[进门],1.0,允许通过,10:52
313,180313,女,18金融管理,21747610,1348976.0,2019/4/10,飞凤轩[出门],1.0,允许通过,06:32
313,180313,女,18金融管理,21747610,1354025.0,2019/4/12,飞凤轩[出门],1.0,允许通过,19:32
313,180313,女,18金融管理,21747610,1355225.0,2019/4/14,飞凤轩[出门],1.0,允许通过,06:43
313,180313,女,18金融管理,21747610,1355324.0,2019/4/14,飞凤轩[进门],1.0,允许通过,08:37
313,180313,女,18金融管理,21747610,1355670.0,2019/4/14,飞凤轩[出门],1.0,允许通过,12:19
313,180313,女,18金融管理,21747610,1355993.0,2019/4/14,飞凤轩[进门],1.0,允许通过,19:30
313,180313,女,18金融管理,21747610,1356363.0,2019/4/15,飞凤轩[出门],1.0,允许通过,06:35
313,180313,女,18金融管理,21747610,1358431.0,2019/4/16,飞凤轩[出门],1.0,允许通过,06:39
313,180313,女,18金融管理,21747610,1358770.0,2019/4/16,飞凤轩[进门],1.0,允许通过,19:12
313,180313,女,18金融管理,21747610,1361245.0,2019/4/18,飞凤轩[出门],1.0,允许通过,19:09
313,180313,女,18金融管理,21747610,1361708.0,2019/4/19,飞凤轩[进门],1.0,允许通过,09:56
313,180313,女,18金融管理,21747610,1365034.0,2019/4/20,飞凤轩[进门],1.0,允许通过,15:55
313,180313,女,18金融管理,21747610,1365035.0,2019/4/20,飞凤轩[进门],1.0,允许通过,15:55
313,180313,女,18金融管理,21747610,1365547.0,2019/4/21,飞凤轩[出门],1.0,允许通过,06:56
313,180313,女,18金融管理,21747610,1365593.0,2019/4/21,飞凤轩[进门],1.0,允许通过,07:59
313,180313,女,18金融管理,21747610,1367903.0,2019/4/22,飞凤轩[进门],1.0,允许通过,21:19
313,180313,女,18金融管理,21747610,1368083.0,2019/4/23,飞凤轩[出门],1.0,允许通过,06:45
313,180313,女,18金融管理,21747610,1368629.0,2019/4/24,飞凤轩[出门],1.0,允许通过,06:42
313,180313,女,18金融管理,21747610,1369324.0,2019/4/25,飞凤轩[出门],1.0,允许通过,06:40
313,180313,女,18金融管理,21747610,1370370.0,2019/4/25,飞凤轩[进门],1.0,允许通过,21:04
313,180313,女,18金融管理,21747610,1374584.0,2019/4/28,飞凤轩[出门],1.0,允许通过,09:20
315,180315,女,18金融管理,19220058,1331765.0,2019/4/1,青鸾苑[进门],1.0,允许通过,03:56
315,180315,女,18金融管理,19220058,1337606.0,2019/4/1,青鸾苑[进门],1.0,允许通过,22:12
315,180315,女,18金融管理,19220058,1337756.0,2019/4/5,青鸾苑[进门],1.0,允许通过,13:34
315,180315,女,18金融管理,19220058,1340159.0,2019/4/4,青鸾苑[出门],1.0,允许通过,15:18
315,180315,女,18金融管理,19220058,1346351.0,2019/4/2,青鸾苑[出门],1.0,允许通过,20:38
315,180315,女,18金融管理,19220058,1346573.0,2019/4/29,青鸾苑[出门],1.0,允许通过,13:37
315,180315,女,18金融管理,19220058,1347312.0,2019/4/8,青鸾苑[进门],1.0,允许通过,11:36
315,180315,女,18金融管理,19220058,1347322.0,2019/4/8,青鸾苑[出门],1.0,允许通过,00:00
315,180315,女,18金融管理,19220058,1349029.0,2019/4/8,青鸾苑[进门],1.0,允许通过,19:34
315,180315,女,18金融管理,19220058,1349034.0,2019/4/8,青鸾苑[出门],1.0,允许通过,19:38
315,180315,女,18金融管理,19220058,1349102.0,2019/4/8,青鸾苑[进门],1.0,允许通过,22:51
